Thu Feb 17 04:10:24 2022  탐색된 코인: ['KRW-XLM', 'KRW-ONG']
Thu Feb 17 04:10:25 2022  XLM 매수 보유원화부족
Thu Feb 17 04:18:44 2022  탐색된 코인: ['KRW-XLM']
Thu Feb 17 04:18:46 2022  XLM 매수 보유원화부족
Thu Feb 17 04:20:39 2022  탐색된 코인: ['KRW-ETC']
Thu Feb 17 04:20:41 2022  ETC 매수 보유원화부족
Thu Feb 17 04:22:37 2022  탐색된 코인: ['KRW-XLM']
Thu Feb 17 04:22:38 2022  XLM 매수 보유원화부족
Thu Feb 17 04:24:33 2022  탐색된 코인: ['KRW-ETC', 'KRW-XLM']
Thu Feb 17 04:24:35 2022  ETC 매수 보유원화부족
Thu Feb 17 04:26:31 2022  탐색된 코인: ['KRW-ETC', 'KRW-XLM']
Thu Feb 17 04:26:32 2022  ETC 매수 보유원화부족
Thu Feb 17 04:28:28 2022  탐색된 코인: ['KRW-ETC', 'KRW-XLM', 'KRW-DOGE']
Thu Feb 17 04:28:29 2022  ETC 매수 보유원화부족
Thu Feb 17 04:30:27 2022  탐색된 코인: ['KRW-ETC', 'KRW-XLM', 'KRW-DOGE', 'KRW-MATIC']
Thu Feb 17 04:30:29 2022  ETC 매수 보유원화부족
Thu Feb 17 04:34:34 2022  탐색된 코인: ['KRW-ONG']
Thu Feb 17 04:34:35 2022  ONG 매수 보유원화부족
Thu Feb 17 04:36:35 2022  탐색된 코인: ['KRW-ONG']
Thu Feb 17 04:36:36 2022  ONG 매수 보유원화부족
