Thu Feb 17 02:37:14 2022  {로깅시작}
Thu Feb 17 02:37:18 2022  #####현재보유자산#####
Thu Feb 17 02:37:18 2022  KRW: 24238.18186203
Thu Feb 17 02:37:18 2022  BTC: 0.00658716 (349172.17728)
Thu Feb 17 02:37:18 2022  XRP: 100.50251256 (99698.49245952)
Thu Feb 17 02:37:18 2022  ETH: 0.02668089 (99546.40058999999)
Thu Feb 17 02:37:18 2022  SAND: 19.76284584 (98418.9722832)
Thu Feb 17 02:37:18 2022  SOL: 0.41034058 (49466.556919)
Thu Feb 17 02:37:18 2022  ###################
Thu Feb 17 02:37:18 2022  {로그인 성공}
Thu Feb 17 02:37:18 2022  {탐색} 전략2
Thu Feb 17 02:38:26 2022  탐색된 코인이 없음
Thu Feb 17 02:38:26 2022  {탐색종료}
Thu Feb 17 02:38:36 2022  {매도}
Thu Feb 17 02:38:41 2022  매도한 종목 없음
Thu Feb 17 02:38:41 2022  {매도종료}
Thu Feb 17 02:39:11 2022  {탐색} 전략2
Thu Feb 17 02:40:22 2022  탐색된 코인이 없음
Thu Feb 17 02:40:22 2022  {탐색종료}
Thu Feb 17 02:40:32 2022  {매도}
Thu Feb 17 02:40:36 2022  매도한 종목 없음
Thu Feb 17 02:40:36 2022  {매도종료}
Thu Feb 17 02:41:06 2022  {탐색} 전략2
Thu Feb 17 02:42:18 2022  탐색된 코인이 없음
Thu Feb 17 02:42:18 2022  {탐색종료}
Thu Feb 17 02:42:28 2022  {매도}
Thu Feb 17 02:42:32 2022  매도한 종목 없음
Thu Feb 17 02:42:32 2022  {매도종료}
Thu Feb 17 02:43:02 2022  {탐색} 전략2
Thu Feb 17 02:44:15 2022  탐색된 코인이 없음
Thu Feb 17 02:44:15 2022  {탐색종료}
Thu Feb 17 02:44:25 2022  {매도}
Thu Feb 17 02:44:29 2022  매도한 종목 없음
Thu Feb 17 02:44:29 2022  {매도종료}
Thu Feb 17 02:44:59 2022  {탐색} 전략2
Thu Feb 17 02:46:12 2022  탐색된 코인이 없음
Thu Feb 17 02:46:12 2022  {탐색종료}
Thu Feb 17 02:46:22 2022  {매도}
Thu Feb 17 02:46:26 2022  매도한 종목 없음
Thu Feb 17 02:46:26 2022  {매도종료}
Thu Feb 17 02:46:56 2022  {탐색} 전략2
Thu Feb 17 02:48:07 2022  탐색된 코인이 없음
Thu Feb 17 02:48:07 2022  {탐색종료}
Thu Feb 17 02:48:17 2022  {매도}
Thu Feb 17 02:48:22 2022  매도한 종목 없음
Thu Feb 17 02:48:22 2022  {매도종료}
Thu Feb 17 02:48:52 2022  {탐색} 전략2
Thu Feb 17 02:50:04 2022  탐색된 코인이 없음
Thu Feb 17 02:50:04 2022  {탐색종료}
Thu Feb 17 02:50:14 2022  {매도}
Thu Feb 17 02:50:18 2022  매도한 종목 없음
Thu Feb 17 02:50:18 2022  {매도종료}
Thu Feb 17 02:50:48 2022  {탐색} 전략2
Thu Feb 17 02:52:01 2022  탐색된 코인이 없음
Thu Feb 17 02:52:01 2022  {탐색종료}
Thu Feb 17 02:52:11 2022  {매도}
Thu Feb 17 02:52:15 2022  매도한 종목 없음
Thu Feb 17 02:52:15 2022  {매도종료}
Thu Feb 17 02:52:45 2022  {탐색} 전략2
Thu Feb 17 02:53:57 2022  탐색된 코인이 없음
Thu Feb 17 02:53:57 2022  {탐색종료}
Thu Feb 17 02:54:07 2022  {매도}
Thu Feb 17 02:54:11 2022  매도한 종목 없음
Thu Feb 17 02:54:11 2022  {매도종료}
Thu Feb 17 02:54:41 2022  {탐색} 전략2
Thu Feb 17 02:55:54 2022  탐색된 코인이 없음
Thu Feb 17 02:55:54 2022  {탐색종료}
Thu Feb 17 02:56:04 2022  {매도}
Thu Feb 17 02:56:08 2022  매도한 종목 없음
Thu Feb 17 02:56:08 2022  {매도종료}
Thu Feb 17 02:56:38 2022  {탐색} 전략2
Thu Feb 17 02:57:50 2022  탐색된 코인이 없음
Thu Feb 17 02:57:50 2022  {탐색종료}
Thu Feb 17 02:58:00 2022  {매도}
Thu Feb 17 02:58:05 2022  매도한 종목 없음
Thu Feb 17 02:58:05 2022  {매도종료}
Thu Feb 17 02:58:35 2022  {탐색} 전략2
Thu Feb 17 02:59:49 2022  탐색된 코인이 없음
Thu Feb 17 02:59:49 2022  {탐색종료}
Thu Feb 17 02:59:59 2022  {매도}
Thu Feb 17 03:00:04 2022  매도한 종목 없음
